4/27/86,Houston Open,500000,274,-14,Curtis Strange ,p,90000,TPC Woodlands, The Woodlands, TX ,,72,7045,,
4/28/85,Houston Open,500000,277,-11,Raymond Floyd,,90000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
4/29/84,Houston Coca-Cola Open,500000,274,-10,Corey Pavin,,90000,Woodlands CC, The Woodlands, TX ,,71,7031,,
5/8/83,Houston Coca-Cola Open,400000,275,-9,David Graham,,72000,Woodlands CC, The Woodlands, TX ,,71,7031,,
5/9/82,Michelob-Houston Open,350000,275,-9,Ed Sneed ,p,63000,Woodlands CC, The Woodlands, TX ,,71,7031,,
5/3/81,Michelob-Houston Open,267461,198,-15,Ron Streck,,47250,Woodlands CC, The Woodlands, TX ,,71,7071,,
5/4/80,Michelob-Houston Open,350000,266,-18,Curtis Strange ,p,63000,Woodlands CC, The Woodlands, TX ,,71,6918,,
5/6/79,Houston Open,300000,268,-16,Wayne Levi,,54000,Woodlands CC, The Woodlands, TX ,,71,6918,,
4/23/78,Houston Open,200000,270,-14,Gary Player,,40000,Woodlands CC, The Woodlands, TX ,,71,6997,,
5/1/77,Houston Open,200000,276,-8,Gene Littler,,40000,Woodlands CC, The Woodlands, TX ,,71,6997,,
5/2/76,Houston Open,200000,278,-6,Lee Elder,,40000,Woodlands CC, The Woodlands, TX ,,71,6997,,
5/4/75,Houston Open,150000,273,-11,Bruce Crampton,,30000,Woodlands CC, The Woodlands, TX ,,71,6929,,
5/12/74,Houston Open,150000,276,-12,Dave Hill,,30000,Quail Valley GC, Missouri City, TX ,,72,6905,,
5/6/73,Houston Open,205000,277,-11,Bruce Crampton,,41000,Quail Valley GC, Missouri City, TX ,,72,6905,,
5/7/72,Houston Open,125000,278,-10,Bruce Devlin,,25000,Westwood CC, Houston, TX ,,72,6998,,
5/16/71,Houston Champions International,125000,280,-4,Hubert Green ,p,25000,Champions GC, Houston, TX ,,71,7166,,
5/10/70,Houston Champions International,115000,282,-2,Gibby Gilbert ,p,23000,Champions GC, Houston, TX ,,71,7166,,
5/5/68,Houston Champions International,100000,274,-10,Roberto De Vicenzo,,20000,Champions GC, Houston, TX ,,71,7166,,
5/7/67,Houston Champions International,115000,274,-10,Frank Beard,,23000,Champions GC, Houston, TX ,,71,7166,,
11/20/66,Houston Champions International,110000,275,-9,Arnold Palmer,,21000,Champions GC, Houston, TX ,,71,7166,,
4/18/65,Houston Classic,75000,273,-11,Bobby Nichols,,12000,Sharpstown CC, Houston, TX ,,71,7021,,
4/19/64,Houston Classic,57500,278,-6,Mike Souchak,,7619,Sharpstown CC, Houston, TX ,,71,7021,,
4/21/63,Houston Classic,50000,268,-16,Bob Charles,,9000,Memorial Park GC, Houston, TX ,,71,7021,,
4/22/62,Houston Classic,53420,278,-6,Bobby Nichols ,p,9000,Memorial Park GC, Houston, TX ,,71,7021,,
4/23/61,Houston Classic,43570,276,-8,Jay Hebert ,p,7000,Memorial Park GC, Houston, TX ,,71,7021,,
5/2/60,Houston Classic,36440,280,-4,Bill Collins ,p,5300,Memorial Park GC, Houston, TX ,,71,7021,,
4/19/59,Houston Classic,3000,277,-7,"Jack Burke, Jr. ",p,4300,Memorial Park GC, Houston, TX ,,71,7021,,
2/24/58,Houston Open,30000,281,-3,Ed Oliver,,4300,Memorial Park GC, Houston, TX ,,71,7021,,
2/25/57,Houston Open,37100,279,-5,Arnold Palmer,,7500,Memorial Park GC, Houston, TX ,,71,7021,,
2/26/56,Houston Open,30000,277,-7,Ted Kroll,,6000,Memorial Park GC, Houston, TX ,,71,7021,,
2/27/55,Houston Open,30000,273,-11,Mike Souchak,,6000,Memorial Park GC, Houston, TX ,,71,7021,,
3/7/54,Houston Open,30000,277,-7,Dave Douglas,,6000,Memorial Park GC, Houston, TX ,,71,7021,,
3/1/53,Houston Open,20000,283,-1,Cary Middlecoff ,p,4000,Memorial Park GC, Houston, TX ,,71,7021,,
2/24/52,Houston Open,10000,277,-7,"Jack Burke, Jr.",,2000,Memorial Park GC, Houston, TX ,,71,7021,,
2/25/51,Houston Open,10000,277,-7,Marty Furgol,,2000,Memorial Park GC, Houston, TX ,,71,7021,,
2/26/50,Houston Open,10000,277,-11,Cary Middlecoff,,2000,Brae Burn CC, Houston, TX ,,72,6725,,
