,"year","rank","player_name","rounds","three_putt_percent","total_3_putts","total_holes"
336,1993,"
        154","
Tim Simpson
",85,3.77,57,1512
337,1993,"
        T155","
Marco Dawson
",105,3.79,71,1872
338,1993,"
        T155","
Kirk Triplett
",92,3.79,62,1638
339,1993,"
        157","
Grant Waite
",90,3.81,61,1602
340,1993,"
        158","
Robert Gamez
",81,3.82,55,1440
341,1993,"
        T159","
David Delong
",52,3.85,36,936
342,1993,"
        T159","
Buddy Gardner
",65,3.85,45,1170
343,1993,"
        161","
Jimmy Johnston
",69,3.86,48,1242
344,1993,"
        162","
Tad Rhyan
",79,3.87,55,1422
345,1993,"
        163","
Doug Tewell
",63,3.88,44,1134
346,1993,"
        164","
Brad Fabel
",82,3.93,58,1476
347,1993,"
        165","
Jeff Cook
",83,3.95,59,1494
348,1993,"
        T166","
P.H. Horgan III
",87,3.96,62,1566
349,1993,"
        T166","
Blaine McCallister
",88,3.96,62,1566
350,1993,"
        T168","
Tom Purtzer
",56,3.97,40,1008
351,1993,"
        T168","
Neale Smith
",56,3.97,40,1008
352,1993,"
        170","
John Daly
",71,3.99,51,1278
353,1993,"
        171","
David Peoples
",83,4,59,1476
354,1993,"
        172","
Ted Tryba
",94,4.02,68,1692
355,1993,"
        173","
Mark Carnevale
",94,4.08,69,1692
356,1993,"
        174","
David Ogrin
",92,4.11,68,1656
357,1993,"
        175","
John Dowdall
",54,4.12,40,972
358,1993,"
        176","
Jim Thorpe
",56,4.17,42,1008
359,1993,"
        177","
David Toms
",84,4.22,63,1494
360,1993,"
        T178","
Jim Hallet
",90,4.38,71,1620
361,1993,"
        T178","
Dan Pohl
",52,4.38,41,936
362,1993,"
        180","
Mike Schuchart
",72,4.4,57,1296
363,1993,"
        181","
Barry Cheesman
",87,4.41,69,1566
364,1993,"
        182","
Dave Peege
",57,4.58,47,1026
365,1993,"
        T183","
John Elliott
",77,4.62,64,1386
366,1993,"
        T183","
Jeff Maggert
",89,4.62,74,1602
367,1993,"
        185","
Dan Halldorson
",79,4.64,66,1422
368,1993,"
        186","
Marty Schiene
",62,4.93,55,1116
369,1993,"
        187","
David Jackson
",87,5.04,79,1566
370,1993,"
        188","
JC Anderson
",77,5.41,74,1368
371,1993,"
        189","
Eddie Pearce
",62,5.56,62,1116
372,1994,"
        1","
Greg Norman
",63,0.97,11,1134
373,1994,"
        2","
David Frost
",78,1.35,19,1404
374,1994,"
        3","
Ben Crenshaw
",86,1.36,21,1548
375,1994,"
        4","
Corey Pavin
",68,1.55,19,1224
