,"year","rank","player_name","rounds","putting_avg","gir_putts","greens_hit","birdie_conversion"
198,1987,"
        T20","
Tom Watson
",67,1.773,1507,850,2.85
199,1987,"
        22","
Davis Love III
",85,1.774,1808,1019,3.03
200,1987,"
        T23","
Jay Don Blake
",97,1.775,2050,1155,2.85
201,1987,"
        T23","
Mark Calcavecchia
",89,1.775,1882,1060,3.26
202,1987,"
        25","
Craig Stadler
",76,1.776,1646,927,3.17
203,1987,"
        26","
Dave Rummells
",110,1.778,2375,1336,2.93
204,1987,"
        27","
Bernhard Langer
",58,1.78,1223,687,3.16
205,1987,"
        T28","
John Inman
",91,1.782,1848,1037,2.87
206,1987,"
        T28","
Steve Pate
",116,1.782,2540,1425,2.81
207,1987,"
        T28","
Bob Tway
",88,1.782,1837,1031,2.79
208,1987,"
        T28","
Fuzzy Zoeller
",72,1.782,1563,877,2.87
209,1987,"
        T32","
Bobby Clampett
",82,1.783,1683,944,2.83
210,1987,"
        T32","
Raymond Floyd
",65,1.783,1387,778,2.78
211,1987,"
        T32","
Corey Pavin
",84,1.783,1765,990,2.83
212,1987,"
        T32","
Mike Sullivan
",85,1.783,1763,989,2.96
213,1987,"
        T36","
Sandy Lyle
",53,1.784,1129,633,2.94
214,1987,"
        T36","
Ron Streck
",96,1.784,2016,1130,2.75
215,1987,"
        T38","
George Burns
",102,1.785,2176,1219,2.88
216,1987,"
        T38","
Fred Couples
",91,1.785,2058,1153,2.91
217,1987,"
        T38","
Larry Nelson
",72,1.785,1521,852,2.81
218,1987,"
        T41","
Bob Eastwood
",93,1.786,2013,1127,2.91
219,1987,"
        T41","
Ed Fiori
",87,1.786,1890,1058,2.61
220,1987,"
        T43","
Jay Haas
",104,1.787,2352,1316,2.67
221,1987,"
        T43","
Lon Hinkle
",68,1.787,1392,779,3.03
222,1987,"
        T43","
Gary Krueger
",71,1.787,1406,787,2.73
223,1987,"
        T46","
Andy Dillard
",81,1.788,1711,957,2.7
224,1987,"
        T46","
Wayne Levi
",83,1.788,1908,1067,2.79
225,1987,"
        T46","
Dan Pohl
",96,1.788,2203,1232,2.95
226,1987,"
        49","
Dan Forsman
",121,1.789,2601,1454,2.81
227,1987,"
        T50","
Frank Conner
",54,1.79,1110,620,2.68
228,1987,"
        T50","
Gary Koch
",71,1.79,1446,808,2.69
229,1987,"
        T50","
J.C. Snead
",87,1.79,1847,1032,2.65
230,1987,"
        T53","
Ronnie Black
",96,1.791,2106,1176,2.73
231,1987,"
        T53","
Jack Renner
",89,1.791,1933,1079,2.58
232,1987,"
        T53","
Tom Sieckmann
",90,1.791,1796,1003,2.94
233,1987,"
        T56","
Perry Arthur
",74,1.792,1448,808,2.92
234,1987,"
        T56","
Phil Blackmar
",100,1.792,2073,1157,2.95
235,1987,"
        T56","
Keith Clearwater
",118,1.792,2570,1434,2.82
236,1987,"
        T56","
Mike Donald
",112,1.792,2288,1277,2.73
237,1987,"
        T56","
Billy Pierot
",57,1.792,1215,678,2.83
238,1987,"
        T56","
Larry Rinker
",94,1.792,1978,1104,2.88
239,1987,"
        T56","
Gene Sauers
",104,1.792,2218,1238,2.71
240,1987,"
        T56","
Richard Zokol
",60,1.792,1337,746,2.64
241,1987,"
        T64","
John Cook
",98,1.793,2082,1161,2.7
242,1987,"
        T64","
Dick Mast
",99,1.793,2150,1199,2.68
243,1987,"
        T64","
Bobby Wadkins
",102,1.793,2281,1272,2.93
244,1987,"
        T64","
Mark Wiebe
",115,1.793,2358,1315,2.73
245,1987,"
        T68","
Tom Byrum
",104,1.794,2270,1265,2.79
246,1987,"
        T68","
Steve Jones
",92,1.794,1941,1082,2.98
