stat_id,year,player_id,events,rounds_total,rounds_measured,sg_total_avg_m,sg_total,sg_tee2green_avg_m,sg_tee2green_total,sg_putting_avg_m,sg_putting_total,sg_app_green_avg_m,sg_app_green_total,sg_off_tee_avg_m,sg_off_tee_total,sg_approach_avg_m,sg_around_green_avg_m,app_avg_proximity,app_total_distance,app_attempts,avg_score_stroke_differential,avg_score_player,avg_score_field,finish_top_10,finish_1st,finish_2nd,finish_3rd,distance_measured_avg,distance_measured_total,distance_measured_num_drives,distance_all_rank_total,distance_all_avg,distance_all_total,distance_all_num_drives,fairway_accuracy_percent,fairways_hit,fairways_possible,fairways_missed_other_percent,fairways_missed_other_total,fairways_missed_other_possible,fairways_missed_other_relative_to_par,total_putting
1729,1988,1560,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1730,1988,1901,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1731,1988,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1732,1989,1876,NULL,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.17,70.55,72.72,8,2,1,1,273.2,32785,120,NULL,NULL,NULL,NULL,70.85,615,868,NULL,NULL,NULL,NULL,NULL
1733,1989,2146,NULL,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.98,70.31,72.29,11,2,3,2,264.8,43957,166,NULL,NULL,NULL,NULL,69.04,814,1179,NULL,NULL,NULL,NULL,NULL
1734,1989,1226,NULL,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.84,70.52,72.36,9,0,1,2,273.2,48090,176,NULL,NULL,NULL,NULL,64.02,797,1245,NULL,NULL,NULL,NULL,NULL
1735,1989,1072,NULL,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.83,70.61,72.44,10,0,3,1,257.9,39712,154,NULL,NULL,NULL,NULL,69.57,759,1091,NULL,NULL,NULL,NULL,NULL
1736,1989,2159,NULL,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.79,70.68,72.47,9,1,1,3,253.2,40002,158,NULL,NULL,NULL,NULL,76.1,847,1113,NULL,NULL,NULL,NULL,NULL
1737,1989,1633,NULL,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.77,70.44,72.21,10,3,1,0,255.9,45037,176,NULL,NULL,NULL,NULL,74.7,930,1245,NULL,NULL,NULL,NULL,NULL
1738,1989,1042,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.65,70.46,72.11,13,1,2,4,267.1,49153,184,NULL,NULL,NULL,NULL,70.41,916,1301,NULL,NULL,NULL,NULL,NULL
1739,1989,2100,NULL,109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.56,70.42,71.98,8,2,2,1,262,55803,213,NULL,NULL,NULL,NULL,71.41,1084,1518,NULL,NULL,NULL,NULL,NULL
1740,1989,2133,NULL,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.45,70.6,72.05,4,0,1,1,269.7,42613,158,NULL,NULL,NULL,NULL,69.79,781,1119,NULL,NULL,NULL,NULL,NULL
1741,1989,1161,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.42,70.46,71.88,10,3,1,2,270.6,45994,170,NULL,NULL,NULL,NULL,64.17,781,1217,NULL,NULL,NULL,NULL,NULL
1742,1989,1783,NULL,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.36,71.08,72.44,7,1,1,0,260.8,34429,132,NULL,NULL,NULL,NULL,68.91,656,952,NULL,NULL,NULL,NULL,NULL
1743,1989,2170,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.34,70.53,71.87,7,0,2,0,264.7,52404,198,NULL,NULL,NULL,NULL,73.05,1022,1399,NULL,NULL,NULL,NULL,NULL
1744,1989,1599,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.33,70.83,72.16,6,3,0,0,262.7,47808,182,NULL,NULL,NULL,NULL,68.31,888,1300,NULL,NULL,NULL,NULL,NULL
1745,1989,1378,NULL,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.22,70.97,72.19,8,1,1,1,256.8,45709,178,NULL,NULL,NULL,NULL,70.8,902,1274,NULL,NULL,NULL,NULL,NULL
1746,1989,1527,NULL,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.2,70.6,71.8,6,1,1,1,259.1,49238,190,NULL,NULL,NULL,NULL,70.53,967,1371,NULL,NULL,NULL,NULL,NULL
1747,1989,1968,NULL,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.19,70.74,71.93,7,0,0,1,264.6,49753,188,NULL,NULL,NULL,NULL,66.77,876,1312,NULL,NULL,NULL,NULL,NULL
1748,1989,1996,NULL,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.16,71.24,72.4,7,0,1,1,247.4,36118,146,NULL,NULL,NULL,NULL,78.86,828,1050,NULL,NULL,NULL,NULL,NULL
1749,1989,1887,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.15,70.91,72.06,7,1,1,1,261.5,46547,178,NULL,NULL,NULL,NULL,64.84,817,1260,NULL,NULL,NULL,NULL,NULL
1750,1989,1706,NULL,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.11,70.92,72.03,4,0,1,1,274.2,44962,164,NULL,NULL,NULL,NULL,61.41,713,1161,NULL,NULL,NULL,NULL,NULL
1751,1989,1926,NULL,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.08,70.76,71.84,5,0,0,1,268.9,57013,212,NULL,NULL,NULL,NULL,66.38,1019,1535,NULL,NULL,NULL,NULL,NULL
1752,1989,2033,NULL,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.08,70.71,71.79,5,0,0,2,266.1,52151,196,NULL,NULL,NULL,NULL,65.84,900,1367,NULL,NULL,NULL,NULL,NULL
1753,1989,1823,NULL,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.06,71.14,72.2,7,0,0,0,250.9,47178,188,NULL,NULL,NULL,NULL,74.19,986,1329,NULL,NULL,NULL,NULL,NULL
1754,1989,1960,NULL,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.06,71.25,72.31,4,0,0,1,252.8,37927,150,NULL,NULL,NULL,NULL,70.46,749,1063,NULL,NULL,NULL,NULL,NULL
1755,1989,1235,NULL,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.03,71.19,72.22,5,0,1,1,251.8,39280,156,NULL,NULL,NULL,NULL,66.94,731,1092,NULL,NULL,NULL,NULL,NULL
1756,1989,1690,NULL,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.03,70.86,71.89,3,0,0,2,258.1,38193,148,NULL,NULL,NULL,NULL,76.23,789,1035,NULL,NULL,NULL,NULL,NULL
1757,1989,1771,NULL,103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.02,70.81,71.83,5,2,0,0,265.8,52103,196,NULL,NULL,NULL,NULL,68.67,984,1433,NULL,NULL,NULL,NULL,NULL
1758,1989,1326,NULL,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.99,71.33,72.32,2,1,0,0,255.1,30614,120,NULL,NULL,NULL,NULL,76.11,650,854,NULL,NULL,NULL,NULL,NULL
1759,1989,1385,NULL,118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.98,70.64,71.62,3,0,0,0,266.3,61789,232,NULL,NULL,NULL,NULL,67.92,1116,1643,NULL,NULL,NULL,NULL,NULL
1760,1989,1715,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.98,70.97,71.95,5,0,0,1,263,46290,176,NULL,NULL,NULL,NULL,61.67,774,1255,NULL,NULL,NULL,NULL,NULL
1761,1989,2010,NULL,113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.98,70.86,71.84,5,0,0,0,249.2,54824,220,NULL,NULL,NULL,NULL,70.32,1109,1577,NULL,NULL,NULL,NULL,NULL
1762,1989,2049,NULL,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.95,70.95,71.9,4,1,0,0,263.6,41646,158,NULL,NULL,NULL,NULL,67.74,777,1147,NULL,NULL,NULL,NULL,NULL
1763,1989,1418,NULL,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.91,70.95,71.86,5,1,0,1,271.3,42873,158,NULL,NULL,NULL,NULL,64.3,717,1115,NULL,NULL,NULL,NULL,NULL
1764,1989,1569,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.91,71,71.91,3,0,1,0,263.8,44849,170,NULL,NULL,NULL,NULL,71.07,855,1203,NULL,NULL,NULL,NULL,NULL
1765,1989,1682,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.91,70.69,71.6,7,0,1,1,258.5,43951,170,NULL,NULL,NULL,NULL,69.39,832,1199,NULL,NULL,NULL,NULL,NULL
1766,1989,2242,NULL,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.91,71.28,72.19,6,0,0,0,251.4,40227,160,NULL,NULL,NULL,NULL,70.08,801,1143,NULL,NULL,NULL,NULL,NULL
1767,1989,2279,NULL,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.91,70.97,71.88,4,0,1,1,261.8,50268,192,NULL,NULL,NULL,NULL,68.35,935,1368,NULL,NULL,NULL,NULL,NULL
1768,1989,1060,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.88,70.95,71.83,2,0,0,0,263.1,47353,180,NULL,NULL,NULL,NULL,66.43,855,1287,NULL,NULL,NULL,NULL,NULL
1769,1989,1837,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.88,70.79,71.67,6,0,0,1,268.2,43982,164,NULL,NULL,NULL,NULL,68.77,817,1188,NULL,NULL,NULL,NULL,NULL
1770,1989,1175,NULL,106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.86,70.77,71.63,6,0,0,1,263.5,54809,208,NULL,NULL,NULL,NULL,67.07,992,1479,NULL,NULL,NULL,NULL,NULL
1771,1989,1549,NULL,118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.85,70.98,71.83,7,1,1,0,265.6,62680,236,NULL,NULL,NULL,NULL,65.39,1077,1647,NULL,NULL,NULL,NULL,NULL
1772,1989,1666,NULL,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.83,71.73,72.56,3,0,1,1,255.9,27127,106,NULL,NULL,NULL,NULL,66.97,515,769,NULL,NULL,NULL,NULL,NULL
1773,1989,1958,NULL,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.82,71.52,72.34,4,0,0,0,271.8,36962,136,NULL,NULL,NULL,NULL,66.87,646,966,NULL,NULL,NULL,NULL,NULL
1774,1989,1098,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.81,70.99,71.8,3,0,0,1,268,46090,172,NULL,NULL,NULL,NULL,65.65,795,1211,NULL,NULL,NULL,NULL,NULL
1775,1989,1475,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8,70.89,71.69,4,1,1,0,268.5,47248,176,NULL,NULL,NULL,NULL,61.67,774,1255,NULL,NULL,NULL,NULL,NULL
1776,1989,2321,NULL,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8,71.32,72.12,4,0,1,0,264.8,34955,132,NULL,NULL,NULL,NULL,67.1,620,924,NULL,NULL,NULL,NULL,NULL
1777,1989,2256,NULL,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.79,71.59,72.38,2,0,0,1,265.3,29717,112,NULL,NULL,NULL,NULL,61.5,508,826,NULL,NULL,NULL,NULL,NULL
1778,1989,1928,NULL,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.78,71.07,71.85,1,0,0,0,251.5,48787,194,NULL,NULL,NULL,NULL,72.35,1002,1385,NULL,NULL,NULL,NULL,NULL
1779,1989,1725,NULL,106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.77,71.06,71.83,2,1,0,0,257.9,53645,208,NULL,NULL,NULL,NULL,74.08,1092,1474,NULL,NULL,NULL,NULL,NULL
1780,1989,2223,NULL,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.77,71.37,72.14,4,1,2,0,264.8,48190,182,NULL,NULL,NULL,NULL,63.65,837,1315,NULL,NULL,NULL,NULL,NULL
1781,1989,2104,NULL,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.76,71.51,72.27,4,0,0,0,254.5,36393,143,NULL,NULL,NULL,NULL,65.18,672,1031,NULL,NULL,NULL,NULL,NULL
1782,1989,1435,NULL,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.74,71.37,72.11,4,1,0,0,252.7,40683,161,NULL,NULL,NULL,NULL,71.95,826,1148,NULL,NULL,NULL,NULL,NULL
1783,1989,1313,NULL,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.73,70.89,71.62,3,0,1,1,258.6,50433,195,NULL,NULL,NULL,NULL,68.21,942,1381,NULL,NULL,NULL,NULL,NULL
1784,1989,1945,NULL,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.73,71.47,72.2,3,0,1,0,276.9,45142,163,NULL,NULL,NULL,NULL,68.45,792,1157,NULL,NULL,NULL,NULL,NULL
1785,1989,1864,NULL,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.72,71.71,72.43,2,0,1,0,256.9,29026,113,NULL,NULL,NULL,NULL,75.62,614,812,NULL,NULL,NULL,NULL,NULL
1786,1989,1129,NULL,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.71,70.78,71.49,3,1,1,0,258.4,53751,208,NULL,NULL,NULL,NULL,65.1,972,1493,NULL,NULL,NULL,NULL,NULL
1787,1989,1133,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.67,70.94,71.61,1,0,1,0,261.9,46882,179,NULL,NULL,NULL,NULL,69.91,897,1283,NULL,NULL,NULL,NULL,NULL
1788,1989,1346,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.67,71.09,71.76,2,0,0,1,251.4,49028,195,NULL,NULL,NULL,NULL,72.27,1011,1399,NULL,NULL,NULL,NULL,NULL
1789,1989,2067,NULL,114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.67,71,71.67,6,1,0,1,271.3,60782,224,NULL,NULL,NULL,NULL,62.79,999,1591,NULL,NULL,NULL,NULL,NULL
1790,1989,2099,NULL,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.64,71.68,72.32,3,1,0,0,249,34615,139,NULL,NULL,NULL,NULL,70.48,709,1006,NULL,NULL,NULL,NULL,NULL
1791,1989,1306,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.62,71.13,71.75,2,0,1,0,249.9,42983,172,NULL,NULL,NULL,NULL,78.24,985,1259,NULL,NULL,NULL,NULL,NULL
1792,1989,1736,NULL,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6,71.29,71.89,3,0,0,0,256.7,37985,148,NULL,NULL,NULL,NULL,69.64,750,1077,NULL,NULL,NULL,NULL,NULL
1793,1989,2101,NULL,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6,71.29,71.89,3,0,0,0,266.2,50047,188,NULL,NULL,NULL,NULL,63.7,844,1325,NULL,NULL,NULL,NULL,NULL
1794,1989,1329,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.59,71.59,72.18,2,0,2,0,267.1,48621,182,NULL,NULL,NULL,NULL,59.1,766,1296,NULL,NULL,NULL,NULL,NULL
1795,1989,1143,NULL,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.58,71.02,71.6,1,0,0,0,271.7,54874,202,NULL,NULL,NULL,NULL,64.09,930,1451,NULL,NULL,NULL,NULL,NULL
1796,1989,2303,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.58,71.17,71.75,1,0,1,0,263.6,45870,174,NULL,NULL,NULL,NULL,66.47,809,1217,NULL,NULL,NULL,NULL,NULL
1797,1989,1331,NULL,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.57,70.64,71.21,1,0,0,0,260.5,37513,144,NULL,NULL,NULL,NULL,63.3,652,1030,NULL,NULL,NULL,NULL,NULL
1798,1989,1639,NULL,109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.57,71.15,71.72,5,0,0,1,260.2,55687,214,NULL,NULL,NULL,NULL,69.01,1051,1523,NULL,NULL,NULL,NULL,NULL
1799,1989,1717,NULL,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.56,71.89,72.45,4,0,2,1,263.3,27121,103,NULL,NULL,NULL,NULL,64.09,473,738,NULL,NULL,NULL,NULL,NULL
1800,1989,1797,NULL,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.56,71.24,71.8,NULL,NULL,NULL,NULL,264.3,54450,206,NULL,NULL,NULL,NULL,66.32,961,1449,NULL,NULL,NULL,NULL,NULL
1801,1989,1891,NULL,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.56,71.26,71.82,2,0,1,0,250.5,45592,182,NULL,NULL,NULL,NULL,70.07,941,1343,NULL,NULL,NULL,NULL,NULL
1802,1989,1284,NULL,118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.55,71.2,71.75,5,1,1,1,258,58307,226,NULL,NULL,NULL,NULL,67.33,1109,1647,NULL,NULL,NULL,NULL,NULL
1803,1989,2118,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.54,70.95,71.49,1,0,0,0,264.8,45543,172,NULL,NULL,NULL,NULL,65.47,785,1199,NULL,NULL,NULL,NULL,NULL
1804,1989,1943,NULL,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.51,71.17,71.68,3,0,0,1,257.9,54426,211,NULL,NULL,NULL,NULL,64.46,965,1497,NULL,NULL,NULL,NULL,NULL
1805,1989,1035,NULL,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,71.21,71.71,2,0,1,0,271.4,56449,208,NULL,NULL,NULL,NULL,65.11,965,1482,NULL,NULL,NULL,NULL,NULL
1806,1989,1049,NULL,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,71.25,71.75,1,1,0,0,257.5,30641,119,NULL,NULL,NULL,NULL,71.29,596,836,NULL,NULL,NULL,NULL,NULL
1807,1989,1390,NULL,111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,71.15,71.65,1,0,0,0,257.9,55699,216,NULL,NULL,NULL,NULL,69.46,1076,1549,NULL,NULL,NULL,NULL,NULL
1808,1989,1975,NULL,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.48,71.7,72.18,2,0,0,0,267.6,40678,152,NULL,NULL,NULL,NULL,65.26,712,1091,NULL,NULL,NULL,NULL,NULL
1809,1989,2186,NULL,102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.48,71.24,71.72,2,0,1,0,258.3,51136,198,NULL,NULL,NULL,NULL,69.11,982,1421,NULL,NULL,NULL,NULL,NULL
1810,1989,1014,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.44,71.33,71.77,NULL,NULL,NULL,NULL,261.8,42929,164,NULL,NULL,NULL,NULL,75.5,906,1200,NULL,NULL,NULL,NULL,NULL
1811,1989,2167,NULL,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.44,71.62,72.06,2,1,0,0,263.4,41087,156,NULL,NULL,NULL,NULL,63.41,700,1104,NULL,NULL,NULL,NULL,NULL
1812,1989,1557,NULL,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,71.19,71.59,1,0,0,0,251.3,44232,176,NULL,NULL,NULL,NULL,66.8,827,1238,NULL,NULL,NULL,NULL,NULL
1813,1989,2267,NULL,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.38,71.7,72.08,NULL,NULL,NULL,NULL,250.2,37026,148,NULL,NULL,NULL,NULL,73.35,790,1077,NULL,NULL,NULL,NULL,NULL
1814,1989,1559,NULL,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.37,71.54,71.91,2,0,0,1,248.9,30366,122,NULL,NULL,NULL,NULL,75.17,663,882,NULL,NULL,NULL,NULL,NULL
1815,1989,1468,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.36,71.47,71.83,1,0,0,1,267.4,45988,172,NULL,NULL,NULL,NULL,63.23,760,1202,NULL,NULL,NULL,NULL,NULL
1816,1989,2246,NULL,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.36,71.25,71.61,3,0,0,1,280,47040,168,NULL,NULL,NULL,NULL,60.66,717,1182,NULL,NULL,NULL,NULL,NULL
