stat_id,year,player_id,events,rounds_total,rounds_measured,sg_total_avg_m,sg_total,sg_tee2green_avg_m,sg_tee2green_total,sg_putting_avg_m,sg_putting_total,sg_app_green_avg_m,sg_app_green_total,sg_off_tee_avg_m,sg_off_tee_total,sg_approach_avg_m,sg_around_green_avg_m,app_avg_proximity,app_total_distance,app_attempts,avg_score_stroke_differential,avg_score_player,avg_score_field,finish_top_10,finish_1st,finish_2nd,finish_3rd,distance_measured_avg,distance_measured_total,distance_measured_num_drives,distance_all_rank_total,distance_all_avg,distance_all_total,distance_all_num_drives,fairway_accuracy_percent,fairways_hit,fairways_possible,fairways_missed_other_percent,fairways_missed_other_total,fairways_missed_other_possible,fairways_missed_other_relative_to_par,total_putting
26,1980,1468,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,1980,1690,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,1,1,0,266.2,44996,169,NULL,NULL,NULL,NULL,67.65,824,1218,NULL,NULL,NULL,NULL,NULL
28,1980,1815,NULL,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,1,1,0,257.6,30913,120,NULL,NULL,NULL,NULL,66.47,577,868,NULL,NULL,NULL,NULL,NULL
29,1980,1935,NULL,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,0,1,248.5,47710,192,NULL,NULL,NULL,NULL,78.74,1063,1350,NULL,NULL,NULL,NULL,NULL
30,1980,2225,NULL,108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,1,1,2,251.8,53130,211,NULL,NULL,NULL,NULL,68.99,1028,1490,NULL,NULL,NULL,NULL,NULL
31,1980,2242,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,0,0,257.1,44478,173,NULL,NULL,NULL,NULL,67.75,851,1256,NULL,NULL,NULL,NULL,NULL
32,1980,1158,NULL,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0,0,1,261.4,48880,187,NULL,NULL,NULL,NULL,61.24,812,1326,NULL,NULL,NULL,NULL,NULL
33,1980,1310,NULL,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,1,1,0,264,54113,205,NULL,NULL,NULL,NULL,55.34,819,1480,NULL,NULL,NULL,NULL,NULL
34,1980,1334,NULL,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0,0,3,267.5,47890,179,NULL,NULL,NULL,NULL,69.53,883,1270,NULL,NULL,NULL,NULL,NULL
35,1980,1412,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0,2,0,252.8,45751,181,NULL,NULL,NULL,NULL,68.63,884,1288,NULL,NULL,NULL,NULL,NULL
36,1980,1414,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,1,1,1,256.1,46615,182,NULL,NULL,NULL,NULL,68.31,899,1316,NULL,NULL,NULL,NULL,NULL
37,1980,1436,NULL,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,1,0,0,259.4,35794,138,NULL,NULL,NULL,NULL,69.01,686,994,NULL,NULL,NULL,NULL,NULL
