winner_id,cal_year,player_id,winner,wins
447,1973,1076,Deane Beman,1
448,1973,2120,Ed Sneed,1
449,1973,1955,Gary Player,1
450,1973,1695,Gene Littler,1
451,1973,1559,Hale Irwin,1
452,1973,1099,Homero Blancas,1
453,1973,1443,Hubert Green,2
454,1973,1869,Jack Nicklaus,7
455,1973,1205,Jim Colbert,1
456,1973,1725,John Mahaffey,1
457,1973,2060,John Schlee,1
458,1973,2064,John Schroeder,1
459,1973,1815,Johnny Miller,1
460,1973,2242,Lanny Wadkins,2
461,1973,2213,Lee Trevino,2
462,1973,1057,Miller Barber,1
463,1973,11421,Rod Funseth,1
464,1973,1007,Sam Adams,1
465,1973,2268,Tom Weiskopf,5
466,1973,1001,Tommy Aaron,1
467,1974,1401,Al Geiberger,1
468,1974,1189,Bob Charles,1
469,1974,1801,Bob Menne,1
470,1974,1867,Bobby Nichols,2
471,1974,1017,Bud Allin,2
472,1974,1519,Dave Hill,1
473,1974,2152,Dave Stockton,3
474,1974,2120,Ed Sneed,1
475,1974,1342,Forrest Fezler,1
476,1974,1955,Gary Player,3
477,1974,1559,Hale Irwin,1
478,1974,1443,Hubert Green,3
479,1974,1869,Jack Nicklaus,2
480,1974,1502,Jerry Heard,1
481,1974,1205,Jim Colbert,1
482,1974,1815,Johnny Miller,8
483,1974,1312,Lee Elder,1
484,1974,2213,Lee Trevino,2
485,1974,2195,Leonard Thompson,1
486,1974,1057,Miller Barber,1
487,1974,1611,Richie Karl,1
488,1974,1242,Rod Curl,1
489,1974,1275,Terry Diehl,1
490,1974,2256,Tom Watson,1
491,1974,1994,Victor Regalado,1
492,1975,1401,Al Geiberger,2
493,1975,2247,Art Wall,1
494,1975,1177,Billy Casper,1
495,1975,1851,Bob Murphy,1
496,1975,1233,Bruce Crampton,1
497,1975,1519,Dave Hill,1
498,1975,1087,Don Bies,1
499,1975,1562,Don Iverson,1
500,1975,1576,Don January,1
501,1975,1450,Gary Groh,1
502,1975,1695,Gene Littler,3
503,1975,1559,Hale Irwin,2
504,1975,1443,Hubert Green,1
505,1975,2118,J.C. Snead,1
506,1975,1869,Jack Nicklaus,5
