win_id,cal_year,player_id,winner,wins,team_wins
183,1964,1227,Charles Courtney,1,NULL
184,1964,1955,Gary Player,2,NULL
185,1964,1640,George Knudson,1,NULL
186,1964,7,Jack McGowan,1,NULL
187,1964,1869,Jack Nicklaus,4,NULL
188,1964,1240,Jacky Cupit,1,NULL
189,1964,1108,Julius Boros,1,NULL
190,1964,5454,Kel Nagle,1,NULL
191,1964,2236,Ken Venturi,3,NULL
192,1964,2032,Mason Rudolph,1,NULL
193,1964,2125,Mike Souchak,2,NULL
194,1964,1057,Miller Barber,1,NULL
195,1964,1483,Paul Harney,1,NULL
196,1964,1137,Pete Brown,1,NULL
197,1964,2093,R.H. Sikes,1,NULL
198,1964,1570,Tommy Jacobs,1,NULL
199,1964,6,Tony Lema,5,NULL
200,1965,1401,Al Geiberger,1,NULL
201,1965,1910,Arnold Palmer,1,NULL
202,1965,1525,Babe Hiskey,1,NULL
203,1965,2259,Bert Weaver,1,NULL
204,1965,1177,Billy Casper,4,NULL
205,1965,1189,Bob Charles,1,NULL
206,1965,1867,Bobby Nichols,1,NULL
207,1965,8001,Bob Verwey,1,NULL
208,1965,1233,Bruce Crampton,3,NULL
209,1965,6410,Dan Sikes,1,NULL
210,1965,1743,Dave Marr,1,NULL
211,1965,5271,Dick Hart,1,NULL
212,1965,1765,Dick Mayer,1,NULL
213,1965,2042,Doug Sanders,2,NULL
214,1965,1069,Frank Beard,1,NULL
215,1965,1955,Gary Player,1,NULL
216,1965,1124,Gay Brewer,2,NULL
217,1965,1695,Gene Littler,1,NULL
218,1965,1033,George Archer,1,NULL
219,1965,1869,Jack Nicklaus,5,NULL
220,1965,5539,Jack Rule,1,NULL
221,1965,1483,Paul Harney,1,NULL
222,1965,2199,Peter Thomson,1,NULL
223,1965,1355,Raymond Floyd,1,NULL
224,1965,11421,Rod Funseth,1,NULL
225,1965,2119,Sam Snead,1,NULL
226,1965,6,Tony Lema,2,NULL
227,1965,3,Wes Ellis,1,NULL
228,1966,1401,Al Geiberger,1,NULL
229,1966,1910,Arnold Palmer,3,NULL
230,1966,2247,Art Wall,1,NULL
231,1966,2309,Bert Yancey,3,NULL
232,1966,1177,Billy Casper,4,NULL
233,1966,1867,Bobby Nichols,1,NULL
234,1966,1269,Bruce Devlin,2,NULL
235,1966,1576,Don January,1,NULL
236,1966,1752,Don Massengale,2,NULL
237,1966,2042,Doug Sanders,3,NULL
238,1966,2307,Dudley Wysong,1,NULL
239,1966,1069,Frank Beard,1,NULL
240,1966,1124,Gay Brewer,1,NULL
241,1966,1511,Harold Henning,1,NULL
242,1966,1099,Homero Blancas,1,NULL
243,1966,1869,Jack Nicklaus,3,NULL
244,1966,1240,Jacky Cupit,1,NULL
245,1966,5096,Joe Campbell,1,NULL
246,1966,2236,Ken Venturi,1,NULL
247,1966,1505,Lionel Hebert,1,NULL
248,1966,2032,Mason Rudolph,1,NULL
249,1966,2014,Phil Rodgers,2,NULL
250,1966,2093,R.H. Sikes,1,NULL
251,1966,5163,Roberto De Vicenzo,1,NULL
252,1966,8,Ted Makalena,1,NULL
253,1966,6,Tony Lema,1,NULL
254,1967,1910,Arnold Palmer,4,NULL
255,1967,2309,Bert Yancey,1,NULL
256,1967,1177,Billy Casper,2,NULL
257,1967,1189,Bob Charles,1,NULL
258,1967,1422,Bob Goalby,1,NULL
259,1967,2091,Charles Sifford,1,NULL
260,1967,2015,Chi Chi Rodriguez,1,NULL
261,1967,6410,Dan Sikes,2,NULL
262,1967,1519,Dave Hill,1,NULL
263,1967,2152,Dave Stockton,1,NULL
264,1967,1576,Don January,1,NULL
265,1967,2042,Doug Sanders,1,NULL
266,1967,2307,Dudley Wysong,1,NULL
267,1967,1069,Frank Beard,3,NULL
268,1967,1273,Gardner Dickinson,1,NULL
269,1967,1124,Gay Brewer,2,NULL
270,1967,1033,George Archer,1,NULL
271,1967,1640,George Knudson,1,NULL
272,1967,1869,Jack Nicklaus,5,NULL
273,1967,1108,Julius Boros,3,NULL
274,1967,1438,Lou Graham,1,NULL
275,1967,1352,Marty Fleckman,1,NULL
276,1967,1057,Miller Barber,1,NULL
277,1967,1421,Randy Glover,1,NULL
278,1967,5163,Roberto De Vicenzo,1,NULL
279,1967,1873,Tom Nieporte,1,NULL
280,1968,1910,Arnold Palmer,2,NULL
281,1968,1177,Billy Casper,6,NULL
282,1968,1189,Bob Charles,1,NULL
283,1968,1274,Bob Dickson,1,NULL
284,1968,1422,Bob Goalby,1,NULL
285,1968,1714,Bob Lunn,2,NULL
286,1968,1851,Bob Murphy,2,NULL
287,1968,1867,Bobby Nichols,0,1
288,1968,2015,Chi Chi Rodriguez,1,NULL
289,1968,6410,Dan Sikes,2,NULL
290,1968,2152,Dave Stockton,2,NULL
291,1968,1993,Dean Refram,1,NULL
292,1968,1576,Don January,1,NULL
293,1968,1273,Gardner Dickinson,1,NULL
294,1968,1955,Gary Player,1,NULL
295,1968,1033,George Archer,2,1
296,1968,1640,George Knudson,2,NULL
297,1968,1869,Jack Nicklaus,2,NULL
298,1968,1962,Johnny Pott,1,NULL
299,1968,1108,Julius Boros,2,NULL
300,1968,2314,Kermit Zarley,1,NULL
301,1968,2213,Lee Trevino,2,NULL
302,1968,1057,Miller Barber,1,NULL
303,1968,5163,Roberto De Vicenzo,1,NULL
304,1968,1180,Ron Cerrudo,1,NULL
305,1968,1997,Steve Reid,1,NULL
306,1968,2268,Tom Weiskopf,2,NULL
307,1968,6306,Tony Jacklin,1,NULL
308,1969,1910,Arnold Palmer,2,NULL
309,1969,2309,Bert Yancey,1,NULL
310,1969,1177,Billy Casper,3,NULL
311,1969,1422,Bob Goalby,1,NULL
312,1969,1714,Bob Lunn,1,NULL
313,1969,1233,Bruce Crampton,1,NULL
314,1969,1269,Bruce Devlin,1,NULL
315,1969,1512,Bunky Henry,1,NULL
316,1969,1215,Charles Coody,1,NULL
317,1969,2091,Charles Sifford,1,NULL
318,1969,1227,Charles Courtney,1,NULL
319,1969,1290,Dale Douglass,2,NULL
320,1969,1519,Dave Hill,3,NULL
321,1969,1076,Deane Beman,1,NULL
322,1969,1704,Dick Lotz,1,NULL
323,1969,1069,Frank Beard,2,NULL
324,1969,1273,Gardner Dickinson,1,NULL
325,1969,1955,Gary Player,1,NULL
326,1969,1695,Gene Littler,2,NULL
327,1969,1033,George Archer,2,NULL
328,1969,1869,Jack Nicklaus,3,NULL
329,1969,1205,Jim Colbert,1,NULL
330,1969,2280,Jim Wiechers,1,NULL
331,1969,2150,Ken Still,2,NULL
332,1969,1524,Larry Hinson,1,NULL
333,1969,2317,Larry Ziegler,1,NULL
334,1969,2213,Lee Trevino,1,NULL
335,1969,1057,Miller Barber,1,NULL
336,1969,9093,Monty Kaser,1,NULL
337,1969,1833,Orville Moody,1,NULL
338,1969,1355,Raymond Floyd,3,NULL
339,1969,2130,Steve Spray,1,NULL
340,1969,2083,Tom Shaw,2,NULL
341,1969,6306,Tony Jacklin,1,NULL
342,1970,1910,Arnold Palmer,0,1
343,1970,1525,Babe Hiskey,1,NULL
344,1970,2309,Bert Yancey,1,NULL
345,1970,1393,Bill Garrett,1,NULL
346,1970,1177,Billy Casper,4,NULL
347,1970,1422,Bob Goalby,1,NULL
348,1970,1714,Bob Lunn,1,NULL
349,1970,1851,Bob Murphy,1,NULL
350,1970,1867,Bobby Nichols,1,NULL
351,1970,1233,Bruce Crampton,1,NULL
352,1970,1269,Bruce Devlin,2,NULL
353,1970,2045,Cesar Sanudo,1,NULL
354,1970,1290,Dale Douglass,1,NULL
355,1970,1519,Dave Hill,1,NULL
356,1970,2152,Dave Stockton,1,NULL
357,1970,1076,Deane Beman,1,NULL
358,1970,1704,Dick Lotz,2,NULL
359,1970,1576,Don January,1,NULL
360,1970,2042,Doug Sanders,1,NULL
361,1970,1069,Frank Beard,2,NULL
362,1970,1955,Gary Player,1,NULL
363,1970,1640,George Knudson,1,NULL
364,1970,1412,Gibby Gilbert,1,NULL
365,1970,1511,Harold Henning,1,NULL
366,1970,1099,Homero Blancas,1,NULL
367,1970,2029,Hugh Royer,1,NULL
368,1970,1869,Jack Nicklaus,2,1
369,1970,2150,Ken Still,1,NULL
370,1970,2314,Kermit Zarley,1,NULL
371,1970,2213,Lee Trevino,2,NULL
372,1970,2032,Mason Rudolph,1,NULL
373,1970,1520,Mike Hill,1,NULL
374,1970,1057,Miller Barber,1,NULL
375,1970,1137,Pete Brown,1,NULL
376,1970,1180,Ron Cerrudo,1,NULL
377,1970,1001,Tommy Aaron,1,NULL
378,1970,6306,Tony Jacklin,1,NULL
379,1971,1910,Arnold Palmer,3,1
380,1971,1177,Billy Casper,1,NULL
381,1971,1422,Bob Goalby,1,NULL
382,1971,1714,Bob Lunn,1,NULL
383,1971,1820,Bobby Mitchell,1,NULL
384,1971,1233,Bruce Crampton,1,NULL
385,1971,1017,Bud Allin,1,NULL
386,1971,1215,Charles Coody,1,NULL
387,1971,1310,Dave Eichelberger,1,NULL
388,1971,2152,Dave Stockton,1,NULL
389,1971,2260,DeWitt Weaver,1,NULL
390,1971,1069,Frank Beard,1,NULL
391,1971,1273,Gardner Dickinson,1,NULL
392,1971,1955,Gary Player,2,NULL
393,1971,1695,Gene Littler,2,NULL
394,1971,1033,George Archer,2,NULL
395,1971,1559,Hale Irwin,1,NULL
396,1971,1443,Hubert Green,1,NULL
397,1971,2118,J.C. Snead,2,NULL
398,1971,1869,Jack Nicklaus,4,1
399,1971,1502,Jerry Heard,1,NULL
400,1971,1815,Johnny Miller,1,NULL
401,1971,1486,Labron Harris,1,NULL
402,1971,2213,Lee Trevino,6,NULL
403,1971,1057,Miller Barber,1,NULL
404,1971,2083,Tom Shaw,2,NULL
405,1971,2268,Tom Weiskopf,2,NULL
406,1972,1525,Babe Hiskey,0,1
407,1972,2309,Bert Yancey,1,NULL
408,1972,1714,Bob Lunn,1,NULL
409,1972,2022,Bob Rosburg,1,NULL
410,1972,2082,Bob Shaw,1,NULL
411,1972,1820,Bobby Mitchell,1,NULL
412,1972,1269,Bruce Devlin,2,NULL
413,1972,2015,Chi Chi Rodriguez,1,NULL
414,1972,1519,Dave Hill,1,NULL
415,1972,1436,David Graham,1,NULL
416,1972,1076,Deane Beman,1,NULL
417,1972,2260,DeWitt Weaver,1,NULL
418,1972,2042,Doug Sanders,1,NULL
