Course_ID,Course,City,State,Country
299,Rancho Municipal GC,Los Angeles,CA,USA
300,Rancho Santa Fe GC,Rancho Santa Fe,CA,USA
301,Randolph Park Muncipal GC,Tucson,AZ,USA
302,Red Run GC,Royal Oak,MI,USA
303,Redstone GC (Tournament),Humble,TX,USA
304,Richelieu Valley G&CC,Sainte-Julie,NULL,Canada
305,Ridgewood CC,Paramus,NJ,USA
306,Rio Pinar G&CC,Orlando,FL,USA
307,Ritz-Carlton GC Dove Mountain,Marana,AZ,USA
308,River Oaks CC,Houston,TX,USA
309,Rivermead GC,Aylmer,NULL,Canada
310,Riverside G&CC,Rothesay,NULL,Canada
311,The Riviera Country Club,Pacific Palisades,CA,USA
312,Robert Trent Jones Golf Club,Gainesville,VA,USA
313,Rosedale GC,Toronto,NULL,Canada
314,Royal Birkdale GC,Southport,NULL,England
315,Royal Cinque Ports GC,Deal,NULL,England
316,Royal Liverpool GC,Hoylake,NULL,England
317,Royal Lytham St. Anne,Lytham St Annes,NULL,England
318,Royal Mayfair G&CC,Edmonton,NULL,Canada
319,Royal Montreal GC (Blue),Bizard,NULL,Canada
320,Royal Portrush Golf Club,Portrush,NULL,Northern Ireland
321,Royal St. George's GC,Sandwich,NULL,England
322,Royal Troon GC,Troon,NULL,Scotland
324,RTJ Trail (Grand National),Auburn/Opelika,AL,USA
325,Sahalee CC,Sammamish,WA,USA
326,Sahara Nevada CC,Las Vegas,NV,USA
327,Salisbury GC,Westbury,NY,USA
328,Salt Lake CC,Salt Lake City,UT,USA
329,San Diego CC,San Diego,CA,USA
330,San Joaquin Country Club,Fresno,CA,USA
331,Sawgrass CC,Ponte Vedra Beach,FL,USA
332,Scarborough G&CC,Toronto,NULL,Canada
333,Scioto CC,Columbus,OH,USA
334,Sea Island Golf Club (Plantation Course),St. Simons Island,GA,USA
335,Sea Island Golf Club (Seaside Course),St. Simons Island,GA,USA
336,Seaview CC,Atlantic City,NJ,USA
337,Sedgefield Country Club,Greensboro,NC,USA
338,Seneca,Broadview Heights,OH,USA
339,Seneca Golf Course,Louisville,KY,USA
340,Shadow Creek Golf Course,Las Vegas,NV,USA
341,Sharpstown CC,Houston,TX,USA
342,Shaughnessy Heights GC,Vancouver,NULL,Canada
343,Shawnee CC,Shawnee on Delaware,PA,USA
344,Shenandoah G&CC,Walled Lake ,MI,USA
345,Sherwood Country Club,Thousand Oaks,CA,USA
346,Sherwood Forest Country Club,Baton Rouge,LA,USA
347,Sheshan International Golf Course,Shanghai,NULL,China
348,Shinnecock Hills GC,Southampton,NY,USA
349,Shoal Creek GC,Birmingham,AL,USA
350,Showboat CC,Las Vegas,NV,USA
351,Silver Rock,La Quinta,CA,USA
352,Silverado Resort and Spa (North Course),Napa,CA,USA
353,Silverado CC (South),Napa,CA,USA
354,Singing Hills GC,El Cajon,CA,USA
355,Siwanoy CC,Bronxville,NY,USA
356,Skokie CC,Glencoe,IL,USA
357,South Bend CC,South Bend,IN,USA
358,Southern Highlands GC,Las Vegas,NV,USA
359,Southern Hills CC,Tulsa,OK,USA
360,Spanish Trail G&CC,Las Vegas,NV,USA
361,Speedway Golf Course,Speedway,IN,USA
362,Spyglass Hill Golf Course,Pebble Beach,CA,USA
363,St. Andrews GC,Toronto,NULL,Canada
364,St. Andrews Links (Old Course),St Andrews,NULL,Scotland
365,St. Charles CC,Winnipeg,NULL,Canada
366,St. George's G&CC,Etobicoke,NULL,Canada
367,St. Louis CC,Clayton,NC,USA
368,Stadium Course,La Quinta,CA,USA
369,Stardust CC,San Diego,CA,USA
370,Starmount Forest CC,Greensboro,NC,USA
371,Starr Pass GC,Tucson,AZ,USA
372,Summerlea G&CC,Montreal,NULL,Canada
373,Sunol Valley Golf Club,Sunol,CA,USA
374,Sunrise GC,Las Vegas,NV,USA
375,Sunset CC,St. Louis,MO,USA
376,Sunset Oaks CC,Rocklin,CA,USA
377,Sunset Ridge,Winnetka,IL,USA
378,Tahoe Mt. Club (Old Greenwood),Truckee,CA,USA
379,Tam O'Shanter CC,Niles,IL,USA
380,Tamarisk CC,Rancho Mirage,CA,USA
381,Tanglewood GC,Winston-Salem,NC,USA
382,Tesoro Club,Port St. Lucy,FL,USA
383,The Classic Club,Palm Desert,CA,USA
384,The Concession Golf Club,Bradenton,FL,USA
385,The Conservatory Course,Palm Coast,FL,USA
386,The Country Club,Brookline,MA,USA
387,The GC at Dove Mountain,Marana,AZ,USA
388,The Old White TPC,White Sulphur Springs,WV,USA
389,The Greens CC,Oklahoma City,OK,USA
390,The Grove,Hertfordshire,NULL,England
391,The Metropolitan Club,Melbourne,NULL,Australia
392,The Mines Resort & GC ,Kuala Lumpur,NULL,Malaysia
393,The Olympic Club,San Francisco,CA,USA
394,The Renaissance Club,North Berwick,NULL,Scotland
395,The Summit Club,Las Vegas,NV,USA
396,Thornhill CC,Thornhill,NULL,Canada
397,Thunderbird CC,Rancho Mirage,CA,USA
398,Tiger Point G&CC,Gulf Breeze,FL,USA
399,Tijuana CC,Tijuana,NULL,Mexico
400,Toronto GC,Mississauga,NULL,Canada
401,Torrey Pines Golf Course (North Course),San Diego,CA,USA
402,Torrey Pines Golf Course (South Course),San Diego,CA,USA
403,TPC Potomac at Avenel Farm,Potomac,MD,USA
404,TPC Boston,Norton,MA,USA
405,TPC Canyons,Las Vegas,NV,USA
406,TPC Conneticut,Cromwell,CT,USA
407,TPC Craig Ranch,McKinney,TX,USA
408,TPC Deere Run,Silvis,IL,USA
409,TPC Eagle Trace,Coral Springs,FL,USA
410,TPC Four Seasons Resort,Irving,TX,USA
411,TPC Harding Park,San Francisco,CA,USA
412,TPC Heron Bay,Coral Springs,FL,USA
413,TPC Kuala Lumpur ,Kuala Lumpur,NULL,Malaysia
414,TPC Las Colinas,Irving,TX,USA
415,TPC Louisiana,Avondale,LA,USA
416,TPC River Highlands,Cromwell,CT,USA
417,TPC Sawgrass (THE PLAYERS Stadium Course),Ponte Vedra Beach,FL,USA
418,TPC Scottsdale (Stadium Course),Scottsdale,AZ,USA
419,TPC Southwind,Memphis,TN,USA
420,TPC StarPass,Tucson,AZ,USA
421,TPC Sugarloaf,Duluth,GA,USA
422,TPC Summerlin,Las Vegas,NV,USA
423,TPC Twin Cities,Blaine,MN,USA
424,TPC Woodlands,The Woodlands,TX,USA
425,Tramarisk CC,Rancho Mirage,CA,USA
426,Trinity Forest Golf Club,Dallas,TX,USA
427,Westmoreland CC,Wilmette,IL,USA
428,Tripoli CC,Milwaukee,WI,USA
429,Tropicana CC,Las Vegas,NV,USA
430,Tuckaway CC,Franklin,WI,USA
431,Tucson National GC,Tucson,AZ,USA
432,Turnberry (Ailsa),South Ayrshire,NULL,Scotland
433,Twin Hills G&CC,Oklahoma City,OK,USA
434,Tyrrell Park Municipal Golf Course,Beaumont,TX,USA
435,Upper Montclair CC,Clifton,NJ,USA
436,Valderrama GC,San Roque,NULL,Spain
437,Valencia CC,Valencia,CA,USA
438,Valhalla GC,Louisville,KY,USA
439,Valleybrook CC,Hixson,TN,USA
440,Vidanta Vallarta,Vallarta,NULL,Mexico
441,Waialae Country Club,Honolulu,HI,USA
442,Wannamoisett CC,Rumford,RI,USA
443,Warwick Hills CC,Grand Blanc,MI,USA
444,Waynesborough CC,Paoli,PA,USA
445,West Palm Beach Golf Course,West Palm Beach,FL,USA
446,Westchester CC,Harrison,NY,USA
447,Western G&CC,Redford,MI,USA
448,Westin Innisbrook (Copperhead),Palm Harbor,FL,USA
449,Westmount G&CC,Kitchener,NULL,Canada
450,Weston G&CC,Toronto,NULL,Canada
451,Weston Hills G&CC,Weston,FL,USA
452,Westwood CC,Houston,TX,USA
453,Westwood CC,St. Louis,MO,USA
454,Wethersfield CC,Wethersfield,CT,USA
455,Whispering Lakes Golf Course,Ontario,CA,USA
456,Whistling Straits,Sheboygan,WI,USA
457,Whitemarsh Valley CC,Lafayette Hill,PA,USA
458,Willow Springs GC,San Antonio,TX,USA
459,Wilmington Country Club,Wilmington,DE,USA
460,Wilshire CC,Los Angeles,CA,USA
461,Winged Foot Golf Club,Mamaroneck,NY,USA
462,Woodlands CC,The Woodlands,TX,USA
463,Worcester CC,Worcester,MA,USA
464,Yorba Linda CC,Yorba Linda,CA,USA
465,Youngstown CC,Youngstown,OH,USA
466,Prince's Golf Club,Sandwich,NULL,England
467,Woodlake GC,San Antonio,TX,USA
468,Lakewood Country Club,Westlake,OH,USA
469,Aurora Country Club,Aurora,OH,USA
470,Tanglewood Country Club,Bainbridge Township,OH,USA
471,Highland Park Municipal Golf Club,Highland Hills,OH,USA
472,Beechmont Country Club,Orange,OH,USA
473,Pensacola Country Club,Pensacola,FL,USA
474,Lakewood Country Club,St. Petersburg,FL,USA
475,Pasadena Country Club,Gulfport,FL,USA
